ano,mes,periodo,uf,estado,regiao,latitude,longitude,focos_queimada,area_desmatada_km2,precipitacao_mm,temperatura_media_c,indice_vegetacao_ndvi,risco_ambiental_score,nivel_risco,fonte_referencia
2024,1,2024-01,AC,Acre,Norte,-8.851947934932213,-69.99727551457241,554,74.78,351.8,29.0,0.717,31.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,AL,Alagoas,Nordeste,-9.485313204951888,-37.44964808563023,284,25.11,142.8,28.2,0.454,26.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,AP,Amapá,Norte,0.9156937045326479,-51.25702293087746,386,75.36,288.7,28.1,0.68,29.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,AM,Amazonas,Norte,-3.872847752097806,-64.968505693579,582,94.16,273.1,27.4,0.736,34.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,BA,Bahia,Nordeste,-13.330198825134566,-38.22210928076388,192,22.84,124.9,30.1,0.479,28.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,CE,Ceará,Nordeste,-4.941536697001607,-39.47002110158351,195,29.29,103.8,27.5,0.491,25.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,DF,Distrito Federal,Centro-Oeste,-15.46000722082338,-47.739733598651036,460,54.16,165.5,26.6,0.585,29.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,ES,Espírito Santo,Sudeste,-18.829150167126418,-40.01405195830933,112,17.14,171.1,24.1,0.584,16.4,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,GO,Goiás,Centro-Oeste,-16.044980641832336,-50.24721724090211,408,55.21,207.5,28.0,0.584,29.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,MA,Maranhão,Nordeste,-5.293427391233328,-45.66579191411179,236,37.49,155.5,28.5,0.535,27.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,MT,Mato Grosso,Centro-Oeste,-12.352334123468673,-55.389533526116644,665,97.93,198.9,28.5,0.466,39.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,MS,Mato Grosso do Sul,Centro-Oeste,-19.992737084340472,-54.721394576395774,444,59.17,153.7,27.0,0.63,30.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,MG,Minas Gerais,Sudeste,-17.920356398410327,-44.34602285772819,124,12.63,198.2,24.9,0.521,16.5,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,PA,Pará,Norte,-3.6863579030273983,-52.388630654737035,892,108.84,314.8,27.5,0.65,39.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,PB,Paraíba,Nordeste,-7.340797044227566,-35.606449999083104,250,26.55,112.3,28.3,0.461,27.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
